TEAM,DATE,LOCATION,ORPG,DRPG,TRPG,APG,SPG,BPG,TPG,PFPG,FG_PCT,X2P_PCT,X3P_PCT,FT_PCT,PPP,PAPP,WIN,LOSS,WIN_PCT,SOS,CONFERENCE,RESULT,OUTCOME,PROB,ELO_DIFF
Air Force,1/9/2016,Home,-3.5,-0.9,-4.4,0.70952381,-1.161904762,-4.814285714,-0.414285714,-2.961904762,-0.003986024,-0.00062465,-0.004446004,-0.047912268,-0.064398778,-0.014204554,0,-1,0.042857143,0.020458468,Mountain West,Loss,Expected,0.005584947,-17.16819944
Air Force,12/29/2015,Home,9.272727273,25.45454545,34.72727273,14.18181818,6.545454545,1.727272727,12.81818182,18.36363636,0.433544304,0.482378855,0.308988764,0.663082437,1.006900077,0.996677741,7,4,0.636363636,-0.35320444,Mountain West,Win,Expected,0.138310508,8.48061312
Air Force,11/13/2015,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mountain West,Loss,Expected,0.039285447,0
Air Force,2/10/2016,Away,-3.986166008,-1.134387352,-5.12055336,0.669960474,-1.420948617,-4.395256917,0.067193676,-3.177865613,-0.003912474,-0.001011457,0.007145044,-0.045961771,-0.066219837,0.054310708,-2,3,-0.112648221,0.005367618,Mountain West,Loss,Expected,0.033636201,-97.42160533
Air Force,2/6/2016,Home,-0.486166008,0.764822134,0.278656126,-0.160079051,-0.031620553,-0.276679842,1.011857708,0.472332016,-0.034979451,-0.084166191,-0.00579093,-0.054036138,-0.130976025,0.062341627,-6,5,-0.241106719,-0.09272375,Mountain West,Win,Upset,0.778718181,-143.4033907
Air Force,1/2/2016,Home,-0.525641026,-0.878205128,-1.403846154,-3.057692308,0.121794872,-1.692307692,-0.634615385,-2.057692308,-0.00751179,-0.034300467,0.005508206,0.018914158,-0.019251411,-0.0312667,3,-4,0.282051282,0.084091559,Mountain West,Win,Expected,0.057269851,36.58813416
Air Force,11/28/2015,Home,-3,-6.8,-9.8,0,3.8,-0.6,-1.8,2.4,-0.067579939,-0.061981758,-0.083000605,-0.043403407,-0.141696661,0.042404836,-1,1,-0.2,0.214035088,Mountain West,Win,Upset,0.284269124,-21.37003192
Air Force,1/23/2016,Home,-4.903508772,0.859649123,-4.043859649,0.365497076,-1.619883041,-2.590643275,0.438596491,-3.956140351,-0.011833618,-0.004826289,-0.000802586,0.004731418,-0.074340142,0.047428942,-3,2,-0.131578947,-0.065768325,Mountain West,Loss,Expected,0.265371908,-76.56171726
Air Force,11/25/2015,Away,-1.5,-2.25,-3.75,1.25,0.75,-4.25,-3.5,-2,-0.007780236,0.061434218,-0.186666667,-0.043463612,-0.053200777,-0.036161534,0,0,0,-0.368484848,Mountain West,Loss,Expected,0.019053239,-7.880089988
Akron,2/9/2016,Away,0.077075099,-0.636363636,-0.559288538,3.389328063,-1.039525692,0.614624506,-1.47826087,-1.468379447,-0.004639875,0.014437021,0.009892042,0.023753112,0.078996863,-0.03308075,5,-6,0.252964427,0.079945308,Mid-American,Win,Expected,0.042348265,108.2217262
Akron,12/12/2015,Home,-1,5.875,4.875,3,-3.125,-1,-1.625,1,0.00953556,-0.031610067,0.08238093,-0.010351967,0.065584155,-0.141919449,2,-2,0.25,-0.077435015,Mid-American,Win,Expected,0.085004977,65.73574117
Akron,2/16/2016,Home,-1.18,0.78,-0.4,2.04,-2.198333333,0.565,-2.753333333,-3.311666667,0.006475925,-0.011713298,0.069797907,-0.018538476,0.073474353,-0.042874122,5,-6,0.231666667,-0.159027048,Mid-American,Win,Expected,0.036081391,93.2532818
Akron,1/12/2016,Away,1.676190476,3.404761905,5.080952381,0.561904762,0.204761905,1.333333333,1.161904762,-0.595238095,-0.033451991,-0.074756263,0.004598984,-0.013998745,-0.062862225,-0.194867454,4,-5,0.323809524,-0.241734347,Mid-American,Loss,Expected,0.001217373,80.45809891
Akron,3/11/2016,Neutral,0.673509286,0.528836755,1.202346041,2.667644184,-0.825024438,0.478983382,-1.708699902,-1.181818182,-0.014433797,-0.004674042,0.025525714,0.04295302,0.085670651,-0.06593729,8,-10,0.289345064,0.021900729,Mid-American,Win,Expected,0.032805673,159.1558989
Akron,11/18/2015,Away,0.5,9,9.5,-5.5,-3.5,-1.5,1,-8,-0.018181818,0.04995971,-0.15035461,0.134615385,0.036315871,-0.301362429,1,0,0,1.333333333,Mid-American,Win,Expected,0.056115816,27.59740509
Akron,1/8/2016,Home,1.802197802,1.450549451,3.252747253,2.06043956,-0.571428571,1.637362637,-1.802197802,-1.505494505,-0.028898071,-0.039054931,0.023679732,-0.023696265,0.027304988,-0.128962931,5,-6,0.417582418,-0.326845828,Mid-American,Win,Expected,0.015043356,93.8965592
Akron,12/23/2015,Neutral,3.555555556,4.111111111,7.666666667,-4.083333333,-3.166666667,0.666666667,0.375,-4.041666667,-0.031136691,-0.029047619,-0.030184659,-0.081223125,-0.032000744,-0.191428269,3,-2,0.277777778,-0.223732841,Mid-American,Win,Expected,0.080411085,39.62727381
