"SEASON","TEAM_CONF","OPP_CONF","EXPECTED","UPSET","TOTAL","PERCENT"
"2014","Big 12","ACC",3,3,6,0.5
"2014","Big 12","American Athletic",9,1,10,0.1
"2014","Big 12","Atlantic 10",3,2,5,0.4
"2014","Big 12","Big East",6,0,6,0
"2014","Big 12","Big Ten",6,1,7,0.142857142857143
"2014","Big 12","Conference USA",9,0,9,0
"2014","Big 12","Pac 12",5,1,6,0.166666666666667
"2014","Big 12","Southeastern",9,4,13,0.307692307692308
"2014","Big 12","Southland",7,2,9,0.222222222222222
"2014","Big 12","Sun Belt",5,4,9,0.444444444444444
"2014","Big 12","SWAC",6,0,6,0
"2014","Big East","ACC",4,2,6,0.333333333333333
"2014","Big East","Atlantic 10",8,2,10,0.2
"2014","Big East","Big 12",5,1,6,0.166666666666667
"2014","Big East","Big Ten",9,3,12,0.25
"2014","Big East","Ivy League",5,1,6,0.166666666666667
"2014","Big East","MAAC",7,0,7,0
"2014","Big East","Mid-American",4,1,5,0.2
"2014","Big East","Pac 12",7,2,9,0.222222222222222
"2014","Big East","Southeastern",7,0,7,0
"2014","Big East","SWAC",5,0,5,0
"2014","Big Sky","Big West",18,2,20,0.1
"2014","Big Sky","Mountain West",12,1,13,0.0769230769230769
"2014","Big Sky","Pac 12",12,0,12,0
"2014","Big Sky","West Coast",9,2,11,0.181818181818182
"2014","Big Sky","Western Athletic",22,5,27,0.185185185185185
"2014","Big South","ACC",11,0,11,0
"2014","Big South","Colonial Athletic",11,1,12,0.0833333333333333
"2014","Big South","MEAC",13,1,14,0.0714285714285714
"2014","Big South","Northeast",4,1,5,0.2
"2014","Big South","Ohio Valley",4,1,5,0.2
"2014","Big South","Southeastern",7,0,7,0
"2014","Big South","Southern",28,9,37,0.243243243243243
"2014","Big South","Sun Belt",4,3,7,0.428571428571429
"2014","Big Ten","ACC",33,5,38,0.131578947368421
"2014","Big Ten","American Athletic",17,4,21,0.19047619047619
"2014","Big Ten","Atlantic 10",6,1,7,0.142857142857143
"2014","Big Ten","Atlantic Sun",5,0,5,0
"2014","Big Ten","Big 12",5,2,7,0.285714285714286
"2014","Big Ten","Big East",11,1,12,0.0833333333333333
"2014","Big Ten","Conference USA",6,0,6,0
"2014","Big Ten","Horizon League",7,1,8,0.125
"2014","Big Ten","Ivy League",5,3,8,0.375
"2014","Big Ten","MAAC",6,0,6,0
"2014","Big Ten","MEAC",8,1,9,0.111111111111111
"2014","Big Ten","Mid-American",4,1,5,0.2
"2014","Big Ten","Missouri Valley",3,2,5,0.4
"2014","Big Ten","Northeast",9,0,9,0
"2014","Big Ten","Pac 12",8,0,8,0
"2014","Big Ten","Patriot League",6,0,6,0
"2014","Big Ten","Southeastern",6,2,8,0.25
"2014","Big Ten","Southland",8,0,8,0
"2014","Big Ten","Summit League",6,0,6,0
"2014","Big West","Big Sky",16,4,20,0.2
"2014","Big West","Mountain West",14,2,16,0.125
"2014","Big West","Pac 12",15,3,18,0.166666666666667
"2014","Big West","West Coast",8,5,13,0.384615384615385
"2014","Big West","Western Athletic",7,0,7,0
"2014","Colonial Athletic","ACC",8,0,8,0
"2014","Colonial Athletic","American Athletic",4,1,5,0.2
"2014","Colonial Athletic","Atlantic 10",14,0,14,0
"2014","Colonial Athletic","Big South",7,5,12,0.416666666666667
"2014","Colonial Athletic","Conference USA",9,2,11,0.181818181818182
"2014","Colonial Athletic","Horizon League",4,1,5,0.2
"2014","Colonial Athletic","MAAC",8,0,8,0
"2014","Colonial Athletic","MEAC",6,2,8,0.25
"2014","Colonial Athletic","Northeast",6,2,8,0.25
"2014","Colonial Athletic","Pac 12",5,0,5,0
"2014","Colonial Athletic","Southern",15,3,18,0.166666666666667
"2014","Colonial Athletic","Sun Belt",5,0,5,0
